"","BIOME","1990","2000","2010","2015","2018","2020","2022","2023","2024"
"1","Albany Thicket",0.0287852764677521,0.0287852764677521,0.0287852764677521,0.0287852764677521,0.0287816968351886,0.0287816968351886,0.0287816968351886,0.0287816968351886,0.0287816968351886
"2","Azonal",0.0203264194022493,0.0203264194022493,0.0203264194022493,0.0203264194022493,0.0203499588409116,0.0203499588409116,0.0203499588409116,0.0203499588409116,0.0203499588409116
"3","Desert",0.00513919773342394,0.00513919773342394,0.00513919773342394,0.00513919773342394,0.00513858653970572,0.00513858653970572,0.00513858653970572,0.00513858653970572,0.00513858653970572
"4","Forest",0.00387811855344264,0.00387811855344264,0.00387811855344264,0.00387811855344264,0.00387778004282917,0.00387778004282917,0.00387778004282917,0.00387778004282917,0.00387778004282917
"5","Fynbos",0.0672265062253717,0.0672265062253717,0.0672265062253717,0.0672265062253717,0.0672236647868571,0.0672236647868571,0.0672236647868571,0.0672236647868571,0.0672236647868571
"6","Grassland",0.274012758468813,0.274012758468813,0.274012758468813,0.274012758468813,0.273978683236145,0.273978683236145,0.273978683236145,0.273978683236145,0.273978683236145
"7","IOCB",0.00959398024425028,0.00959398024425028,0.00959398024425028,0.00959398024425028,0.00959303825609524,0.00959303825609524,0.00959303825609524,0.00959303825609524,0.00959303825609524
"8","Nama-Karoo",0.204630227072128,0.204630227072128,0.204630227072128,0.204630227072128,0.204609768209981,0.204609768209981,0.204609768209981,0.204609768209981,0.204609768209981
"9","Savanna",0.322226778244352,0.322226778244352,0.322226778244352,0.322226778244352,0.322274066947781,0.322274066947781,0.322274066947781,0.322274066947781,0.322274066947781
"10","Succulent Karoo",0.0641807375882172,0.0641807375882172,0.0641807375882172,0.0641807375882172,0.064172756304505,0.064172756304505,0.064172756304505,0.064172756304505,0.064172756304505
